(-0.156975,-1.48495)
(-0.290723,-1.47246)
(-0.420123,-1.44208)
(-0.54263,-1.36888)
(-0.644955,-1.28281)
(-0.7369,-1.16829)
(-0.803864,-1.04617)
(-0.860404,-0.908251)
(-0.894536,-0.766571)
(-0.920216,-0.617469)
(-0.92987,-0.466603)
(-0.93398,-0.312522)
(-0.929995,-0.157153)
(-0.923715,-0.157237)
(-0.915143,-0.312689)
(-0.898477,-0.466852)
(-0.876269,-0.6178)
(-0.838037,-0.766983)
(-0.791356,-0.908741)
(-0.722273,-1.04674)
(-0.642765,-1.16893)
(-0.53829,-1.28353)
(-0.423427,-1.36967)
(-0.288407,-1.44293)
(-0.146478,-1.47339)
(-0.000235978,-1.48594)
(0.145044,-1.44634)
(0.267247,-1.38725)
(0.377262,-1.282)
(0.432736,-1.16291)
(0.466005,-1.02792)
(0.427591,-0.893364)
(0.365819,-0.793942)
(0.252575,-0.712934)
(0.129599,-0.712168)
(0.0191489,-0.738931)
(-0.0770847,-0.841361)
(-0.0893103,-0.959245)
(-0.0719895,-1.07688)
(0.0350674,-1.18093)
(0.158306,-1.19061)
(0.274459,-1.16909)
(0.3724,-1.05536)
(0.355371,-0.931049)
(0.307536,-0.847818)
(0.189627,-0.791662)
(0.0751881,-0.868631)
(0.0632171,-0.96794)
(0.084495,-1.06733)
(0.213205,-1.14314)
(0.341314,-1.06439)
(0.35306,-0.963624)
(0.331854,-0.878334)
(0.213673,-0.821662)
(0.108395,-0.935801)
(0.181738,-1.0565)
(0.277627,-1.05535)
(0.349898,-1.02343)
(0.391545,-0.906747)
(0.257003,-0.814421)
(0.137737,-0.956973)
(0.275766,-1.0933)
(0.414802,-0.980783)
(0.334414,-0.862623)
(0.246278,-0.924145)
(0.296451,-0.993628)
(0.353741,-0.96224)
(0.340988,-0.925062)
(0.323915,-0.934397)
(0.336548,-0.946723)
(0.351189,-0.940736)
(0.354963,-0.933423)
(0.357936,-0.932311)
(0.364369,-0.931625)
(0.37105,-0.929023)
(0.376729,-0.926241)
(0.382316,-0.923927)
(0.38814,-0.921617)
(0.393969,-0.919148)
(0.399724,-0.916633)
(0.405459,-0.914108)
(0.41119,-0.91155)
(0.416905,-0.908951)
(0.422602,-0.906315)
(0.428282,-0.903645)
(0.433946,-0.900939)
(0.439593,-0.898197)
(0.445222,-0.89542)
(0.450834,-0.892608)
(0.456427,-0.889761)
(0.462003,-0.886878)
(0.467561,-0.883961)
(0.4731,-0.881009)
(0.478621,-0.878022)
(0.484123,-0.875)
(0.489606,-0.871944)
(0.495069,-0.868854)
(0.500513,-0.865729)
(0.505937,-0.86257)
(0.511341,-0.859378)
(0.516726,-0.856151)
(0.522089,-0.852891)
(0.527432,-0.849597)
(0.532755,-0.84627)
(0.538056,-0.842909)
(0.543337,-0.839515)
(0.548595,-0.836088)
(0.553833,-0.832628)
(0.559048,-0.829135)
(0.564241,-0.82561)
(0.569412,-0.822052)
(0.574561,-0.818462)
(0.579687,-0.814839)
(0.58479,-0.811185)
(0.589871,-0.807498)
(0.594928,-0.803779)
(0.599961,-0.800029)
(0.604971,-0.796248)
(0.609957,-0.792435)
(0.614919,-0.78859)
(0.619857,-0.784715)
(0.62477,-0.780809)
(0.629659,-0.776872)
(0.634523,-0.772904)
(0.639362,-0.768906)
(0.644175,-0.764878)
(0.648964,-0.76082)
(0.653726,-0.756731)
(0.658463,-0.752613)
(0.663175,-0.748465)
(0.667859,-0.744287)
(0.672518,-0.740081)
(0.67715,-0.735845)
(0.681756,-0.73158)
(0.686334,-0.727286)
(0.690886,-0.722964)
(0.69541,-0.718613)
(0.699907,-0.714234)
